year,name,total_est_pop_over16,total_est_median_earnings,male_est_pop_over16,male_est_median_fulltime_earnings,female_est_pop_over16,female_est_median_fulltime_earnings
2014,Las Vegas,307193,29738,165771,41505,141422,35907
2014,Albuquerque,284583,28956,149995,43054,134588,36637
2014,Charlotte,463122,31611,235366,47329,227756,40076
2014,Columbus,489136,28705,245146,42190,243990,38274
2014,Oklahoma City,333825,28334,175752,42462,158073,35257
2014,Portland,370915,30388,190978,50814,179937,45359
2014,Memphis,325381,23457,160357,33434,165024,33026
2014,Nashville,380797,27824,194192,40619,186605,37372
2014,Austin,553918,32174,303546,47274,250372,41725
2014,El Paso,317930,24089,173903,37265,144027,29646
2014,Fort Worth,414897,30251,220602,42473,194295,37271
2014,Seattle,433216,42209,231297,68270,201919,52386
2014,Milwaukee,302834,24075,149588,38762,153246,33196
2015,Mesa,244445,28566,132866,40805,111579,37216
2015,Tucson,273257,21785,142244,36718,131013,31553
2015,Fresno,240677,22878,127725,38395,112952,38498
2015,Sacramento,237586,30962,121387,46804,116199,40857
2015,San Francisco,546232,51884,293004,80764,253228,66965
2015,Denver,404418,37346,220748,49598,183670,46483
2015,Washington,408114,49891,199400,72230,208714,62191
2015,Jacksonville,458893,30296,232363,42077,226530,36139
2015,Indianapolis,452965,27798,221359,41111,231606,35861
2015,Baltimore,302652,32248,145438,46556,157214,41796
2015,Boston,413070,36059,202506,57997,210564,51432
2015,Detroit,259205,20158,122919,32445,136286,29716
2015,Kansas City,263056,31678,134680,44253,128376,38844
2015,Las Vegas,307471,30722,165026,41863,142445,36608
2015,Albuquerque,287428,28260,147736,41903,139692,36643
2015,Charlotte,468990,32366,242603,46536,226387,41008
2015,Columbus,499164,29494,255487,42102,243677,39324
2015,Oklahoma City,334554,30383,180033,44728,154521,35551
2015,Portland,381781,31542,197748,49424,184033,45467
2015,Memphis,327292,24800,158999,37743,168293,31475
2015,Nashville,386951,30895,196365,41205,190586,38849
2015,Austin,573381,35193,315002,48263,258379,42089
2015,El Paso,324439,26103,175985,38498,148454,31458
2015,Fort Worth,435614,31583,233719,47284,201895,38175
2015,Seattle,454731,46454,239216,70616,215515,56934
2015,Milwaukee,306278,25762,146404,40514,159874,36146
2016,Mesa,249938,30005,131785,42252,118153,34484
2016,Tucson,276747,22274,141171,36380,135576,33167
2016,Fresno,239415,25960,124869,40146,114546,36627
2016,Sacramento,250323,32137,130034,46939,120289,46054
2016,San Francisco,551265,56678,293162,85684,258103,71595
2016,Denver,418524,37972,221149,51784,197375,47986
2016,Washington,411258,50364,199846,75343,211412,64908
2016,Jacksonville,464916,31218,239121,41932,225795,37533
2016,Indianapolis,454999,30495,229930,42147,225069,36983
2016,Baltimore,317178,33838,146359,50398,170819,42572
2016,Boston,422611,37323,209453,61358,213158,54722
2016,Detroit,279289,22022,133303,32521,145986,31483
2016,Kansas City,270322,31806,136322,46634,134000,37176
2016,Las Vegas,315643,30771,170744,44894,144899,37014
2016,Albuquerque,293436,30314,151542,44167,141894,39431
2016,Charlotte,481688,35227,244991,50627,236697,41114
2016,Columbus,505572,30566,261413,45136,244159,39632
2016,Oklahoma City,343275,30867,180318,47814,162957,35995
2016,Portland,392280,35699,203409,52443,188871,47456
2016,Memphis,322639,26610,156267,39079,166372,33506
2016,Nashville,393581,31748,197682,41707,195899,40284
2016,Austin,592265,37300,325297,50547,266968,46221
2016,El Paso,326930,25177,175250,37637,151680,31937
2016,Fort Worth,444265,31414,237791,45460,206474,36864
2016,Seattle,471379,46561,246175,75445,225204,58391
2016,Milwaukee,309475,26079,150924,40598,158551,35381
2017,Mesa,255670,30910,133621,44741,122049,38851
2017,Tucson,278471,24586,149725,37927,128746,32767
2017,Fresno,243376,26591,130465,42245,112911,36470
2017,Sacramento,259691,35064,131564,49410,128127,45387
2017,San Francisco,572382,60093,309068,83962,263314,76500
2017,Denver,432719,41316,230447,53865,202272,47575
2017,Washington,420037,54604,203070,74877,216967,66679
2017,Jacksonville,477714,31470,243348,43657,234366,37846
