year,city_state,name,total_est_pop_over16,total_est_median_earnings,total_est_mean_earnings,male_est_pop_over16,male_est_median_earnings,male_est_median_fulltime_earnings,male_est_mean_fulltime_earnings,female_est_pop_over16,female_est_median_earnings,female_est_median_fulltime_earnings,female_est_mean_fulltime_earnings
2019,"Baltimore city, Maryland",Baltimore,306063,37654,64736,146877,40909,51333,69594,159186,34853,47305,59678
2019,"Boston city, Massachusetts",Boston,448170,45046,87885,219000,49279,67096,94445,229170,41690,61610,80640
2019,"Detroit city, Michigan",Detroit,291915,27046,45691,140668,29461,36341,45078,151247,25905,35300,46314
2019,"Kansas City city, Missouri",Kansas City,279902,36445,58424,140070,40809,50257,64054,139832,31985,44395,51835
2019,"Las Vegas city, Nevada",Las Vegas,325615,35126,59643,177423,36919,42316,65389,148192,31779,40439,51971
2019,"Albuquerque city, New Mexico",Albuquerque,302690,32389,59663,156731,37410,48480,64113,145959,29554,41288,54058
2019,"Charlotte city, North Carolina",Charlotte,521863,38528,74468,259003,42450,53439,88100,262860,33680,43693,59290
2019,"Columbus city, Ohio",Columbus,546185,35013,56308,280219,38898,47917,60654,265966,30219,42101,51042
2019,"Oklahoma City city, Oklahoma",Oklahoma City,348424,35040,57960,184736,39582,47382,65471,163688,29988,39034,48162
2019,"Portland city, Oregon",Portland,404945,42060,78755,205919,46246,62078,85221,199026,39623,55165,70939
2019,"Memphis city, Tennessee",Memphis,330989,30068,53983,157881,32537,40927,60425,173108,26762,36263,47356
2019,"Nashville-Davidson metropolitan government (balance), Tennessee",Nashville,412956,37624,66018,208219,41540,50400,72160,204737,35546,46636,58524
2019,"Austin city, Texas",Austin,622473,42416,77408,334040,49165,60096,87579,288433,37501,50242,63628
2019,"El Paso city, Texas",El Paso,333433,26104,45178,183312,30732,39279,49048,150121,21549,31417,39697
2019,"Fort Worth city, Texas",Fort Worth,488934,35739,58940,262701,41373,50472,65889,226233,30023,41521,49106
2019,"Seattle city, Washington",Seattle,510598,58698,107689,276430,66004,91904,120610,234168,51210,71733,89610
2019,"Milwaukee city, Wisconsin",Milwaukee,302414,31157,47404,150132,33189,42247,50961,152282,28459,38250,43597
