year,city_state,name,total_est_pop_over16,total_est_median_earnings,total_est_mean_earnings,male_est_pop_over16,male_est_median_earnings,male_est_median_fulltime_earnings,male_est_mean_fulltime_earnings,female_est_pop_over16,female_est_median_earnings,female_est_median_fulltime_earnings,female_est_mean_fulltime_earnings
2012,"San Francisco city, California",San Francisco,498885,45439,86226,268842,50392,67149,94447,230043,40283,60245,75159
2012,"Denver city, Colorado",Denver,369517,32416,62441,197130,35261,49731,70354,172387,30936,42052,52400
2012,"Washington city, District of Columbia",Washington,375163,44980,86389,181624,47490,66754,95228,193539,41777,60116,77365
2012,"Jacksonville city, Florida",Jacksonville,415996,27711,48397,215220,31098,40439,54515,200776,25259,35567,41142
2012,"Indianapolis city (balance), Indiana",Indianapolis,442849,26688,48409,220989,30111,41072,53390,221860,24541,36297,42806
2012,"Baltimore city, Maryland",Baltimore,300274,30758,51986,141255,32406,44581,56257,159019,28619,40209,47866
2012,"Boston city, Massachusetts",Boston,382763,32327,68190,191399,34382,51580,76843,191364,31029,48029,58491
2012,"Detroit city, Michigan",Detroit,252046,17729,38472,115125,18333,34017,41238,136921,17351,31116,36100
2012,"Kansas City city, Missouri",Kansas City,246284,30273,54352,119030,33605,45182,64936,127254,26003,36705,43488
2012,"Las Vegas city, Nevada",Las Vegas,293526,28588,50247,156714,30584,40902,54825,136812,26611,36709,44405
2012,"Albuquerque city, New Mexico",Albuquerque,284365,30131,50948,146999,31918,42367,55589,137366,26970,38537,45469
2012,"Charlotte city, North Carolina",Charlotte,434204,30314,62859,224060,34205,46412,74734,210144,25924,37427,47500
2012,"Columbus city, Ohio",Columbus,453974,29450,48682,230422,31654,42585,52994,223552,26408,36888,43695
2012,"Oklahoma City city, Oklahoma",Oklahoma City,316805,26824,49531,168711,30651,39558,56211,148094,23392,32896,40338
2012,"Portland city, Oregon",Portland,354185,30631,59883,183611,33586,49133,64667,170574,26568,41728,53689
2012,"Memphis city, Tennessee",Memphis,320820,23525,45131,155578,26539,39859,52413,165242,21694,31396,37824
2012,"Nashville-Davidson metropolitan government (balance), Tennessee",Nashville,355727,27497,49407,182689,30050,40727,55534,173038,26172,35733,42530
2012,"Austin city, Texas",Austin,516238,28934,59129,275804,31564,43235,65143,240434,26010,40356,50607
2012,"El Paso city, Texas",El Paso,305108,22886,45918,164990,28659,39983,53098,140118,18679,27375,35827
2012,"Fort Worth city, Texas",Fort Worth,397200,28341,50662,215227,32952,42022,56035,181973,22967,36089,42977
2012,"Seattle city, Washington",Seattle,412678,37362,74038,212597,41813,60080,80870,200081,34751,51158,65277
2012,"Milwaukee city, Wisconsin",Milwaukee,292408,23959,42768,144619,25805,38692,44712,147789,21985,36020,40540
2013,"Mesa city, Arizona",Mesa,225945,28679,48269,119689,31706,42446,54508,106256,24601,35951,40184
2013,"Tucson city, Arizona",Tucson,271302,21358,42350,142301,22658,35485,45317,129001,20082,32105,38484
2013,"Fresno city, California",Fresno,222900,23322,46526,116293,25652,40051,50663,106607,21488,34722,41423
2013,"Sacramento city, California",Sacramento,228847,30644,54596,118735,31018,42771,57746,110112,30326,41674,51032
2013,"San Francisco city, California",San Francisco,518520,47428,90617,279257,52198,71902,101914,239263,41931,60859,75591
2013,"Denver city, Colorado",Denver,381757,32424,61841,201727,36645,46559,68359,180030,29001,42400,53135
2013,"Washington city, District of Columbia",Washington,384304,46401,86949,189430,50241,67610,98171,194874,44360,61760,75313
2013,"Jacksonville city, Florida",Jacksonville,431487,30229,50731,221356,31746,41851,57778,210131,27156,35675,42807
2013,"Indianapolis city (balance), Indiana",Indianapolis,442772,26804,52326,223517,30260,41192,59264,219255,23682,35397,44430
2013,"Baltimore city, Maryland",Baltimore,309723,31763,56036,145996,33123,47000,64132,163727,30973,41426,48830
2013,"Boston city, Massachusetts",Boston,395712,32142,70418,196574,35660,53927,76913,199138,30626,49718,63367
2013,"Detroit city, Michigan",Detroit,247994,20553,39718,114886,21338,32166,41990,133108,19732,31706,37649
2013,"Kansas City city, Missouri",Kansas City,255032,30120,51434,130422,32431,45073,57534,124610,26586,37573,43952
2013,"Las Vegas city, Nevada",Las Vegas,300656,27127,50836,158176,30262,41670,56925,142480,25705,35024,43587
2013,"Albuquerque city, New Mexico",Albuquerque,289525,27936,50564,150397,32359,42960,57018,139128,23870,35955,41825
2013,"Charlotte city, North Carolina",Charlotte,442996,29938,63989,223594,32610,47168,77161,219402,26358,38060,48399
2013,"Columbus city, Ohio",Columbus,468774,29048,48626,237739,31438,41658,52280,231035,26148,38538,44443
2013,"Oklahoma City city, Oklahoma",Oklahoma City,327137,28267,49326,175327,31455,40805,55814,151810,25103,32569,40642
2013,"Portland city, Oregon",Portland,361347,31213,64819,187079,34734,50569,67867,174268,27888,47398,60853
2013,"Memphis city, Tennessee",Memphis,323774,25280,47874,158286,27721,37252,54560,165488,23056,33026,40530
