year,name,estimate_total_households_with_social_security,percent_estimate_total_households_with_social_security,mean_social_security_income_usd,estimate_total_households_with_retirement_income,percent_estimate_total_households_with_retirement_income,mean_retirement_income_usd,estimate_total_households_with_ssi,percent_estimate_total_households_with_ssi,mean_ssi_income_usd,estimate_total_households_with_cash_public_assistance,percent_estimate_total_households_with_cash_public_assistance,mean_cash_public_assistance_income_usd,total_households_foodstamp_snap,percent_households_foodstamp_snap
2019,Tucson,68724,31.5,17761,48068,22.1,22287,11260,5.2,9702,2441,1.1,2740,32059,14.7
2010,Washington,50249,19.9,13504,36622,14.5,35416,13607,5.4,8066,11758,4.7,3771,28656,11.4
2011,Washington,50362,18.7,13831,40197,15,38800,16291,6.1,8062,10065,3.7,3719,38777,14.4
2012,Washington,48663,18.2,14675,38252,14.3,38006,16648,6.2,9096,10456,3.9,4516,40966,15.4
2013,Washington,51304,18.9,14520,39400,14.5,38449,15489,5.7,8964,11339,4.2,3444,42612,15.7
2014,Washington,51785,18.7,14679,38984,14.1,40494,16130,5.8,8688,10131,3.7,3258,39035,14.1
2015,Washington,51719,18.4,15813,38982,13.8,45227,15578,5.5,9834,9372,3.3,2999,43203,15.3
2016,Washington,56288,20,15926,38735,13.8,45565,15192,5.4,9329,11025,3.9,3420,40789,14.5
2017,Washington,56168,20,16271,40663,14.4,40883,15710,5.6,9270,9024,3.2,2655,37115,13.2
2018,Washington,55564,19.3,15505,41289,14.4,43330,14069,4.9,8632,11020,3.8,2818,40353,14
2019,Washington,55443,19,17121,52111,17.9,43601,16468,5.6,8596,8541,2.9,4350,33038,11.3
